 Assembling: D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(5) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(68) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(73) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(74) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(77) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(81) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(86) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(96) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(100) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(107) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(110) : error A2088:END directive required at end of file
