 Assembling: D:\rawrxd\history\-2b4f82f3\iOhj.asm
D:\rawrxd\history\-2b4f82f3\iOhj.asm(6) : error A2008:syntax error : BITS
D:\rawrxd\history\-2b4f82f3\iOhj.asm(7) : error A2008:syntax error : DEFAULT
D:\rawrxd\history\-2b4f82f3\iOhj.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\iOhj.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\iOhj.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(158) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(159) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(162) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(164) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(165) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(169) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(178) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\iOhj.asm(179) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(181) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(182) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(183) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(184) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(185) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(186) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(198) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(199) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(200) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(203) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(205) : fatal error A1012:error count exceeds 100; stopping assembly
