 Assembling: D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(34) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(36) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(37) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(39) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(40) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(41) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(49) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(52) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(55) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(58) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(61) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(63) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(64) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(66) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(67) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(68) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(71) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(73) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(74) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(77) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(78) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(79) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(81) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(82) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(84) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(85) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(86) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(88) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(89) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(91) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(92) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(93) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(95) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(96) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(98) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(99) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(100) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(102) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(103) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(105) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(106) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(107) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(109) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(110) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(110) : error A2088:END directive required at end of file
