 Assembling: D:\rawrxd\history\-1ac12352\28SK.asm
D:\rawrxd\history\-1ac12352\28SK.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-1ac12352\28SK.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(86) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(100) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(101) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(107) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(111) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(122) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(127) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(134) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(137) : error A2008:syntax error : section
D:\rawrxd\history\-1ac12352\28SK.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(151) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(155) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(162) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(163) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(167) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(171) : fatal error A1012:error count exceeds 100; stopping assembly
