 Assembling: D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1) : error A2044:invalid character in file
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(206) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(210) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(213) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(233) : error A2022:instruction operands must be the same size
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(238) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(264) : error A2006:undefined symbol : vblank_sync
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(282) : error A2006:undefined symbol : ApplyGlitchEffect
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(287) : error A2006:undefined symbol : RenderParticles
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(291) : error A2006:undefined symbol : RenderScanlines
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(327) : error A2006:undefined symbol : SSE4Blur
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(330) : error A2006:undefined symbol : AVX512Blur
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(350) : error A2006:undefined symbol : LINE
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(406) : error A2006:undefined symbol : g_NextBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(407) : error A2006:undefined symbol : g_NextBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(411) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(421) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(426) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(456) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(460) : error A2006:undefined symbol : g_BranchListHead
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(472) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(483) : error A2006:undefined symbol : g_MergeViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(484) : error A2006:undefined symbol : g_MergeSourcePtr
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(485) : error A2006:undefined symbol : g_MergeTargetPtr
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(486) : error A2006:undefined symbol : g_MergeSourceBranch
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(487) : error A2006:undefined symbol : g_MergeTargetBranch
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(516) : error A2006:undefined symbol : g_HexViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(518) : error A2006:undefined symbol : g_HexViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(525) : error A2006:undefined symbol : g_HexBytesPerRow
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(526) : error A2006:undefined symbol : g_HexViewWidth
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(529) : error A2006:undefined symbol : g_CursorOffset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(533) : error A2006:undefined symbol : g_HexTopRow
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(536) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(540) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(543) : error A2006:undefined symbol : g_HexViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(601) : error A2006:undefined symbol : g_DiffBitmapPtr
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(602) : error A2006:undefined symbol : g_DiffSize
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(603) : error A2006:undefined symbol : g_DiffViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(604) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(637) : error A2006:undefined symbol : OpenProcess
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(640) : error A2006:undefined symbol : g_AttachedProcess
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(646) : error A2006:undefined symbol : g_MemRegionCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(654) : error A2006:undefined symbol : VirtualQueryEx
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(663) : error A2006:undefined symbol : g_MemRegionCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(675) : error A2006:undefined symbol : g_MemEditActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(676) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(716) : error A2006:undefined symbol : g_DisasmBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(785) : error A2006:undefined symbol : g_DecompileViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(786) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(821) : error A2006:undefined symbol : g_GhostCursorCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(829) : error A2006:undefined symbol : g_GhostCursors
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(853) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(872) : error A2006:undefined symbol : g_CursorOffset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(873) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(915) : error A2006:undefined symbol : g_GhostTextOffset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(916) : error A2006:undefined symbol : g_GhostTextActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(917) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(938) : error A2006:undefined symbol : g_SemanticZoomLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(951) : error A2006:undefined symbol : g_SemanticZoomLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(961) : error A2006:undefined symbol : g_FoldLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(962) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(964) : error A2006:undefined symbol : g_SemanticZoomLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(979) : error A2006:undefined symbol : g_HeatMapMode
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(985) : error A2006:undefined symbol : g_HeatMapMode
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(992) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(993) : error A2006:undefined symbol : g_HeatMapMode
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1046) : error A2006:undefined symbol : g_MinimapHeightData
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1081) : error A2006:undefined symbol : g_MinimapLineCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1082) : error A2006:undefined symbol : g_Minimap3DActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1083) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1116) : error A2006:undefined symbol : sz_cmd_jump_to
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1118) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1123) : error A2006:undefined symbol : sz_cmd_rename
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1125) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1130) : error A2006:undefined symbol : sz_cmd_extract
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1132) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1137) : error A2006:undefined symbol : sz_cmd_undo
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1139) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1147) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1148) : error A2006:undefined symbol : g_PendingCommandArg
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1151) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1152) : error A2006:undefined symbol : g_PendingCommandArg
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1155) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1156) : error A2006:undefined symbol : g_PendingCommandArg
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1159) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1163) : fatal error A1012:error count exceeds 100; stopping assembly
