 Assembling: D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(21) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(347) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(348) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(349) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(350) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(351) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(352) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(353) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(354) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(355) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(356) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(357) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(358) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(359) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(360) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(362) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(363) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(364) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(365) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(366) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(367) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(368) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(369) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(370) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(371) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(372) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(373) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(374) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(375) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(376) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(377) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(378) : fatal error A1012:error count exceeds 100; stopping assembly
