 Assembling: D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(45) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(48) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(51) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(54) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(56) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(57) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(58) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(61) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(62) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(63) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(67) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(68) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(70) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(71) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(74) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(75) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(76) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(79) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(82) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(83) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(84) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(85) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(88) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(89) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(90) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(91) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(92) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(95) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(96) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(97) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(98) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(99) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(100) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(101) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(104) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(105) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(106) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(107) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(110) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(111) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(112) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(113) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(114) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(117) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(118) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(119) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(122) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(123) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(124) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(125) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(126) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(129) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(130) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(131) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(132) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(135) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(136) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(137) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(138) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(141) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(142) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(145) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(146) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(147) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(148) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(149) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(150) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(151) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(152) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(153) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(156) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(157) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(158) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(159) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(160) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(161) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(163) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(164) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(167) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(168) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(169) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(171) : fatal error A1012:error count exceeds 100; stopping assembly
