 Assembling: D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(57) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(58) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(61) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(62) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(63) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(65) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(66) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(67) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(71) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(72) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(74) : error A2008:syntax error : .
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(75) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(76) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(79) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(80) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(81) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(83) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(86) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(87) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(88) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(89) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(91) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(92) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(95) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(96) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(97) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(105) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(106) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(109) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(110) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(111) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(113) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(116) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(118) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(119) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(122) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(123) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(124) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(126) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(129) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(131) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(132) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(135) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(136) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(137) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(143) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(144) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(147) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(148) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(149) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(156) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(157) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(160) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(161) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(162) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(165) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(166) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(167) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(168) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(169) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(171) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(173) : error A2008:syntax error : .
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(175) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(176) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(178) : error A2008:syntax error : .
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(180) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(181) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(183) : error A2008:syntax error : .
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(184) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(185) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(188) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(189) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(190) : fatal error A1012:error count exceeds 100; stopping assembly
