 Assembling: D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(18) : error A2008:syntax error : [
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(19) : error A2008:syntax error : [
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(25) : error A2008:syntax error : .data
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(56) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(59) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(60) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(63) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(68) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(69) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(73) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(76) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(77) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(81) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(86) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(87) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(96) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(97) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(100) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(101) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(107) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(111) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(117) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(122) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(127) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(128) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(136) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(143) : fatal error A1012:error count exceeds 100; stopping assembly
