 Assembling: D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(203) : error A2044:invalid character in file
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(277) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(280) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(281) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(282) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(283) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(326) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(330) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(331) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(333) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(334) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(335) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(336) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(344) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(345) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(346) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(348) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(349) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(350) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(351) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(353) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(354) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(355) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(356) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(357) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(358) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(359) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(360) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(361) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(362) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(363) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(366) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(367) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(368) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(369) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(370) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(372) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(377) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(385) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(386) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(427) : error A2006:undefined symbol : rdxName
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(430) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(431) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(434) : error A2006:undefined symbol : NumSectio
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(443) : error A2006:undefined symbol : NumSectio
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(456) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(457) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(461) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(469) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(470) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(471) : error A2006:undefined symbol : eaxnterToRawData
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(475) : error A2006:undefined symbol : raxName
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(481) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(482) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(484) : error A2006:undefined symbol : r8dnterToRawData
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(485) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(486) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(487) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(488) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(507) : error A2006:undefined symbol : NumSectio
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(509) : error A2006:undefined symbol : NumSectio
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(510) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(519) : error A2006:undefined symbol : @@add_do
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(552) : error A2006:undefined symbol : @@do
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(583) : error A2006:undefined symbol : @@do
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(618) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(623) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(624) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(654) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(659) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(660) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(673) : error A2006:undefined symbol : @@encoding_do
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(677) : error A2006:undefined symbol : @@encoding_do
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(710) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(712) : error A2006:undefined symbol : esintryPoi
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(715) : error A2006:undefined symbol : NumSectio
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(717) : error A2006:undefined symbol : @@no_sectio
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(727) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(728) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(735) : fatal error A1012:error count exceeds 100; stopping assembly
