 Assembling: D:\rawrxd\history\-2943ace1\9XYR.asm
D:\rawrxd\history\-2943ace1\9XYR.asm(6) : error A2008:syntax error : bits
D:\rawrxd\history\-2943ace1\9XYR.asm(7) : error A2008:syntax error : default
D:\rawrxd\history\-2943ace1\9XYR.asm(47) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(50) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(55) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(56) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(57) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(60) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(75) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(76) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(77) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(86) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(87) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(93) : error A2008:syntax error : section
D:\rawrxd\history\-2943ace1\9XYR.asm(95) : error A2008:syntax error : text_buffer
D:\rawrxd\history\-2943ace1\9XYR.asm(98) : error A2008:syntax error : line_starts
D:\rawrxd\history\-2943ace1\9XYR.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(124) : error A2008:syntax error : undo_buffer
D:\rawrxd\history\-2943ace1\9XYR.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(128) : error A2008:syntax error : search_term
D:\rawrxd\history\-2943ace1\9XYR.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(132) : error A2008:syntax error : section
D:\rawrxd\history\-2943ace1\9XYR.asm(137) : error A2008:syntax error : global
D:\rawrxd\history\-2943ace1\9XYR.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(146) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(151) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(153) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(158) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(159) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(164) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(165) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(167) : fatal error A1012:error count exceeds 100; stopping assembly
