 Assembling: D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(4) : error A2008:syntax error : BITS
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(5) : error A2008:syntax error : DEFAULT
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(7) : error A2008:syntax error : section
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(140) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(142) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(143) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(146) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(147) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(148) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(151) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(152) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(153) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(154) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(155) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(158) : fatal error A1012:error count exceeds 100; stopping assembly
