 Assembling: D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(7) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(101) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(108) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(111) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(122) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(136) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(151) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(153) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(154) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(168) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(169) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(171) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(172) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(173) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(175) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(180) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(181) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(183) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(184) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(186) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(187) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(188) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(189) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(190) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(201) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(202) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(203) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(204) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(205) : fatal error A1012:error count exceeds 100; stopping assembly
