 Assembling: D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(168) : error A2179:structure improperly initialized
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(168) : error A2065:expected : )
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(443) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(470) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(475) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(485) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(496) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(502) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(540) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(566) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(578) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(583) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(634) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(642) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(649) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(652) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(670) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(679) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(697) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(709) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(715) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(724) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(733) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(741) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(750) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(760) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(761) : error A2088:END directive required at end of file
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(199) : error A2006:undefined symbol : case_insensitive_fail
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(205) : error A2006:undefined symbol : case_insensitive_cleanup1
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(223) : error A2006:undefined symbol : case_insensitive_not_found
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(233) : error A2006:undefined symbol : case_insensitive_cleanup2
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(246) : error A2006:undefined symbol : case_insensitive_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(293) : error A2006:undefined symbol : sentence_end_of_text
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(297) : error A2006:undefined symbol : sentence_check_period
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(299) : error A2006:undefined symbol : sentence_found
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(301) : error A2006:undefined symbol : sentence_found
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(305) : error A2006:undefined symbol : sentence_scan_loop
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(311) : error A2006:undefined symbol : sentence_check_period_is_abbr
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(315) : error A2006:undefined symbol : sentence_period_is_end
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(317) : error A2006:undefined symbol : sentence_period_is_end
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(322) : error A2006:undefined symbol : sentence_period_is_end
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(324) : error A2006:undefined symbol : sentence_period_is_end
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(326) : error A2006:undefined symbol : sentence_period_is_end
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(329) : error A2006:undefined symbol : sentence_period_continue
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(332) : error A2006:undefined symbol : sentence_period_continue
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(344) : error A2006:undefined symbol : sentence_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(349) : error A2006:undefined symbol : sentence_scan_loop
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(402) : error A2006:undefined symbol : rip
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(445) : error A2006:undefined symbol : extract_claims_end
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(452) : error A2006:undefined symbol : extract_claims_end
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(467) : error A2006:undefined symbol : extract_claims_copy_ok
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(476) : error A2022:instruction operands must be the same size
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(477) : error A2006:undefined symbol : extract_claims_copied
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(483) : error A2006:undefined symbol : extract_claims_copy_loop
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(491) : error A2022:instruction operands must be the same size
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(494) : error A2006:undefined symbol : extract_claims_conf_ok
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(500) : error A2006:undefined symbol : extract_claims_loop
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(542) : error A2006:undefined symbol : verify_claims_aggregate
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(564) : error A2006:undefined symbol : verify_claims_loop
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(570) : error A2006:undefined symbol : verify_claims_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(576) : error A2006:undefined symbol : verify_claims_clamp_high
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(580) : error A2006:undefined symbol : verify_claims_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(628) : error A2006:undefined symbol : append_no_prefix_newline
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(630) : error A2006:undefined symbol : append_buffer_full
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(637) : error A2006:undefined symbol : append_type_not_factual
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(639) : error A2006:undefined symbol : rip
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(640) : error A2006:undefined symbol : append_type_add_prefix
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(644) : error A2006:undefined symbol : append_type_not_style
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(646) : error A2006:undefined symbol : rip
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(647) : error A2006:undefined symbol : append_type_add_prefix
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(650) : error A2006:undefined symbol : rip
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(667) : error A2006:undefined symbol : append_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(700) : error A2006:undefined symbol : copy_lower_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(704) : error A2006:undefined symbol : copy_lower_not_upper
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(706) : error A2006:undefined symbol : copy_lower_not_upper
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(713) : error A2006:undefined symbol : copy_lower_loop
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(727) : error A2006:undefined symbol : safe_append_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(732) : error A2006:undefined symbol : safe_append_loop
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(744) : error A2006:undefined symbol : hash_done
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(749) : error A2006:undefined symbol : hash_loop
