 Assembling: D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(5) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(56) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(57) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(58) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(61) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(62) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(63) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(65) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(66) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(67) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(71) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(72) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(74) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(75) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(76) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(79) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(80) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(81) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(83) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(86) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(87) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(88) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(89) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(91) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(92) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(95) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(96) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(97) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(105) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(106) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(109) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(110) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(111) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(113) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(116) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(118) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(119) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(122) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(123) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(124) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(126) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(129) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(131) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(132) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(135) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(136) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(137) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(143) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(144) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(147) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(148) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(149) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(156) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(157) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(160) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(161) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(162) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(165) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(166) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(167) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(168) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(169) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(171) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(173) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(175) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(176) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(178) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(180) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(181) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(183) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(184) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(185) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(188) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(189) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(190) : fatal error A1012:error count exceeds 100; stopping assembly
