 Assembling: D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(35) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(36) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(39) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(42) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(45) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(48) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(51) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(54) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(56) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(57) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(58) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(61) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(62) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(63) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(65) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(66) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(67) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(71) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(72) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(74) : error A2008:syntax error : .
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(75) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(76) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(79) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(80) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(81) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(83) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(86) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(87) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(88) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(89) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(91) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(92) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(95) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(96) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(97) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(105) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(106) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(109) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(110) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(111) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(113) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(116) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(118) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(119) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(122) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(123) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(124) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(126) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(129) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(131) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(132) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(135) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(136) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(137) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(143) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(144) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(147) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(148) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(149) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(156) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(157) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(160) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(161) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(162) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(165) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(166) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(167) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(168) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(169) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(171) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(173) : error A2008:syntax error : .
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(175) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(176) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(178) : error A2008:syntax error : .
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(180) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(181) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(183) : error A2008:syntax error : .
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(184) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(185) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(188) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(189) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(190) : fatal error A1012:error count exceeds 100; stopping assembly
