 Assembling: D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(309) : error A2070:invalid instruction operands
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(352) : error A2070:invalid instruction operands
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(425) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(426) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(427) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(428) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(429) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(430) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(433) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(437) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(438) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(439) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(440) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(441) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(442) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(443) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(446) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(450) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(451) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(452) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(455) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(459) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(460) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(470) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(474) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(475) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(476) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(477) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(478) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(479) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(480) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(481) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(482) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(492) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(496) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(506) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(510) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(514) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(518) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(522) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(532) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(533) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(534) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(537) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(538) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(541) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(544) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(548) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(549) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(552) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(553) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(556) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(566) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(570) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(574) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(578) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(589) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(600) : error A2008:syntax error : invoke
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(609) : error A2008:syntax error : if
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(611) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(613) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(615) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(617) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(619) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(621) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(623) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(625) : error A2008:syntax error : elseif
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_main_window_masm.asm(627) : fatal error A1012:error count exceeds 100; stopping assembly
