 Assembling: D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(21) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(318) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(319) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(320) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(321) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(322) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(323) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(324) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(325) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(326) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(327) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(328) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(329) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(330) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(331) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(332) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(333) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(334) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(335) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(336) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(337) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(338) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(339) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(340) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(341) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(342) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(343) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(344) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(345) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(346) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(347) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(348) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(349) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(350) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(351) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(352) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(353) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(354) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(355) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(356) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(357) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(358) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(359) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(360) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(362) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(363) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(364) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(365) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(366) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(367) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(368) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(369) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(370) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(371) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(372) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(373) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(374) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(375) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(376) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(377) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(378) : fatal error A1012:error count exceeds 100; stopping assembly
