 Assembling: D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(5) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(27) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(28) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(29) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(30) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(31) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(32) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(33) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(67) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(68) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(69) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(70) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(71) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(72) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(75) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(76) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(77) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(78) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(80) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(82) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(83) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(86) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(87) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(88) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(89) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(90) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(91) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(94) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(95) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(96) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(97) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(98) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(100) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(102) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(103) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(104) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(105) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(106) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(107) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(108) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(111) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(112) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(113) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(114) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(116) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(117) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(118) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(119) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(122) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(123) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(124) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(127) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(128) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(129) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(130) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(131) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(132) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(133) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(134) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(135) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(136) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(137) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(138) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(139) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(140) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(143) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(144) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(145) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(146) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(148) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(149) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(150) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(151) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(152) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(153) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(155) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(156) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(157) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(158) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(159) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(160) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(162) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(163) : fatal error A1012:error count exceeds 100; stopping assembly
