 Assembling: D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(12) : error A2008:syntax error : global
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(107) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(111) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(134) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(136) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(146) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(149) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(150) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(151) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(154) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(155) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(158) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(159) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(162) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(163) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(165) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(167) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(169) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(171) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(172) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(173) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(174) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(175) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(176) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(177) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(178) : fatal error A1012:error count exceeds 100; stopping assembly
