 Assembling: D:\rawrxd\history\-2b4f82f3\EVWL.asm
D:\rawrxd\history\-2b4f82f3\EVWL.asm(6) : error A2008:syntax error : BITS
D:\rawrxd\history\-2b4f82f3\EVWL.asm(7) : error A2008:syntax error : DEFAULT
D:\rawrxd\history\-2b4f82f3\EVWL.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\EVWL.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\EVWL.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(146) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(149) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(150) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(153) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(155) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(168) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(169) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(171) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(172) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(173) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(174) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(175) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(177) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(178) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(179) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(182) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(183) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(192) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(193) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(195) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\EVWL.asm(196) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\EVWL.asm(198) : fatal error A1012:error count exceeds 100; stopping assembly
