 Assembling: D:\rawrxd\history\-1ff88781\DETF.asm
D:\rawrxd\history\-1ff88781\DETF.asm(25) : error A2070:invalid instruction operands
D:\rawrxd\history\-1ff88781\DETF.asm(373) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(397) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(398) : error A2006:undefined symbol : handle_paint
D:\rawrxd\history\-1ff88781\DETF.asm(399) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(400) : error A2006:undefined symbol : handle_keydown
D:\rawrxd\history\-1ff88781\DETF.asm(401) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(402) : error A2006:undefined symbol : handle_keyup
D:\rawrxd\history\-1ff88781\DETF.asm(403) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(404) : error A2006:undefined symbol : handle_mousemove
D:\rawrxd\history\-1ff88781\DETF.asm(405) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(406) : error A2006:undefined symbol : handle_lbuttondown
D:\rawrxd\history\-1ff88781\DETF.asm(419) : error A2006:undefined symbol : message_done
D:\rawrxd\history\-1ff88781\DETF.asm(423) : error A2006:undefined symbol : message_done
D:\rawrxd\history\-1ff88781\DETF.asm(427) : error A2006:undefined symbol : message_done
D:\rawrxd\history\-1ff88781\DETF.asm(431) : error A2006:undefined symbol : message_done
D:\rawrxd\history\-1ff88781\DETF.asm(435) : error A2006:undefined symbol : message_done
