 Assembling: D:\rawrxd\history\-2b4f82f3\6OhS.asm
D:\rawrxd\history\-2b4f82f3\6OhS.asm(6) : error A2008:syntax error : BITS
D:\rawrxd\history\-2b4f82f3\6OhS.asm(7) : error A2008:syntax error : DEFAULT
D:\rawrxd\history\-2b4f82f3\6OhS.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\6OhS.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\6OhS.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(96) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(97) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(101) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(111) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(117) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(125) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\6OhS.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(128) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\6OhS.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(146) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(154) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(155) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(158) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(163) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(165) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(167) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(168) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(171) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(173) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(174) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(176) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(177) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(179) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(180) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(182) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(183) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(195) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(196) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(197) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(198) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(199) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(200) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(201) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(202) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(204) : fatal error A1012:error count exceeds 100; stopping assembly
