 Assembling: D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(4) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(76) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(77) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(96) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(117) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(122) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769158378813_Dyyu.asm(123) : error A2088:END directive required at end of file
