 Assembling: D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(66) : error A2008:syntax error : timestamp
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(434) : error A2006:undefined symbol : LocalAlloc
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(441) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(442) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(443) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(444) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(461) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(462) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(466) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(467) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(471) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(472) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(476) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(477) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(481) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(482) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(486) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(487) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(491) : error A2006:undefined symbol : timestamp
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(492) : error A2006:undefined symbol : GetSystemTimeAsFileTime
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(496) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(539) : error A2006:undefined symbol : LocalFree
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(564) : error A2098:invalid operand for OFFSET
