 Assembling: D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(5) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(6) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(7) : error A2008:syntax error : ,
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(85) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(88) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(91) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(92) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(93) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(96) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(97) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(98) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(101) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(102) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(103) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(106) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(107) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(108) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(110) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(111) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(114) : error A2008:syntax error : -
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(115) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(116) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(117) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(120) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(121) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(122) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(125) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(128) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(129) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(130) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(133) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(134) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(135) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(138) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(139) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(140) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(143) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(144) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(145) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(147) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(148) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(151) : error A2008:syntax error : -
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(152) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(153) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(154) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(157) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(158) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(159) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(162) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(165) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(166) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(167) : fatal error A1012:error count exceeds 100; stopping assembly
