 Assembling: D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(4) : error A2008:syntax error : BITS
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(5) : error A2008:syntax error : DEFAULT
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(8) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(9) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(10) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(11) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(12) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(13) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(14) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(16) : error A2008:syntax error : section
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(81) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(84) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(85) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(86) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(87) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(88) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(89) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(92) : error A2042:statement too complex
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(95) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(98) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(101) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(102) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(103) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(104) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(105) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(106) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(107) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(108) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(109) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(110) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(111) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(112) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(113) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(116) : error A2008:syntax error : times
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(117) : error A2008:syntax error : times
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(118) : error A2008:syntax error : times
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(119) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(120) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(123) : error A2008:syntax error : times
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(124) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(125) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(126) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(127) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(128) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(129) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(130) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(131) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(132) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(133) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(136) : fatal error A1012:error count exceeds 100; stopping assembly
