 Assembling: D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1) : error A2044:invalid character in file
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(407) : error A2006:undefined symbol : g_NextBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(411) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(421) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(426) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(456) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(460) : error A2006:undefined symbol : g_BranchListHead
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(472) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(483) : error A2006:undefined symbol : g_MergeViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(484) : error A2006:undefined symbol : g_MergeSourcePtr
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(485) : error A2006:undefined symbol : g_MergeTargetPtr
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(486) : error A2006:undefined symbol : g_MergeSourceBranch
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(487) : error A2006:undefined symbol : g_MergeTargetBranch
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(516) : error A2006:undefined symbol : g_HexViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(518) : error A2006:undefined symbol : g_HexViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(525) : error A2006:undefined symbol : g_HexBytesPerRow
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(526) : error A2006:undefined symbol : g_HexViewWidth
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(529) : error A2006:undefined symbol : g_CursorOffset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(533) : error A2006:undefined symbol : g_HexTopRow
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(536) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(540) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(543) : error A2006:undefined symbol : g_HexViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(601) : error A2006:undefined symbol : g_DiffBitmapPtr
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(602) : error A2006:undefined symbol : g_DiffSize
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(603) : error A2006:undefined symbol : g_DiffViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(604) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(637) : error A2006:undefined symbol : OpenProcess
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(640) : error A2006:undefined symbol : g_AttachedProcess
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(646) : error A2006:undefined symbol : g_MemRegionCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(654) : error A2006:undefined symbol : VirtualQueryEx
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(663) : error A2006:undefined symbol : g_MemRegionCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(675) : error A2006:undefined symbol : g_MemEditActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(676) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(716) : error A2006:undefined symbol : g_DisasmBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(785) : error A2006:undefined symbol : g_DecompileViewActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(786) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(821) : error A2006:undefined symbol : g_GhostCursorCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(829) : error A2006:undefined symbol : g_GhostCursors
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(853) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(872) : error A2006:undefined symbol : g_CursorOffset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(873) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(915) : error A2006:undefined symbol : g_GhostTextOffset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(916) : error A2006:undefined symbol : g_GhostTextActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(917) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(938) : error A2006:undefined symbol : g_SemanticZoomLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(951) : error A2006:undefined symbol : g_SemanticZoomLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(961) : error A2006:undefined symbol : g_FoldLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(962) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(964) : error A2006:undefined symbol : g_SemanticZoomLevel
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(979) : error A2006:undefined symbol : g_HeatMapMode
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(985) : error A2006:undefined symbol : g_HeatMapMode
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(992) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(993) : error A2006:undefined symbol : g_HeatMapMode
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1046) : error A2006:undefined symbol : g_MinimapHeightData
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1081) : error A2006:undefined symbol : g_MinimapLineCount
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1082) : error A2006:undefined symbol : g_Minimap3DActive
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1083) : error A2006:undefined symbol : g_ViewDirty
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1116) : error A2006:undefined symbol : sz_cmd_jump_to
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1118) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1123) : error A2006:undefined symbol : sz_cmd_rename
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1125) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1130) : error A2006:undefined symbol : sz_cmd_extract
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1132) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1137) : error A2006:undefined symbol : sz_cmd_undo
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1139) : error A2006:undefined symbol : StrStrIA
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1147) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1148) : error A2006:undefined symbol : g_PendingCommandArg
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1151) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1152) : error A2006:undefined symbol : g_PendingCommandArg
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1155) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1156) : error A2006:undefined symbol : g_PendingCommandArg
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1159) : error A2006:undefined symbol : g_PendingCommand
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1163) : fatal error A1012:error count exceeds 100; stopping assembly
