 Assembling: D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(42) : error A2008:syntax error : stats
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(150) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(151) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(153) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(154) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(155) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(158) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(159) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(162) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(163) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(164) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(165) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(171) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(172) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(174) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(175) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(176) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(179) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(180) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(182) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(183) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(184) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(185) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(186) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(189) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(190) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(192) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(193) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(195) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(199) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(200) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(201) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(202) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(203) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(208) : fatal error A1012:error count exceeds 100; stopping assembly
